"file","OM","Ftrgt","Btrigger","HCR","TACconstr","BB","catch_long","catch_short","catch_medium","risk1_full","risk1_long","risk1_short","risk1_medium","risk3_long","risk3_short","risk3_medium","iav_long","iav_short","iav_medium","catch_median_long","catch_median_short","catch_median_medium","conv_failed","F_maxed","ssb_median_long","ssb_median_short","ssb_median_medium","F_median_long","F_median_medium","F_median_short","Blim","recovery_time","recovery_proportion"
"OM1_HCR-C_Ftrgt-0.17_Btrigger-260000_TACconstr-TRUE_BB-TRUE.rds",1,0.17,260000,"C",TRUE,TRUE,24736.17574,16635.79614,21596.1025,0.057,0.0401,0.0776,0.0702,0.05,0.097,0.088,0.360963391,0.346641281,0.41259459,22587.35,16257,19413.65,0,0,199534.8211,170195.6815,190440.9803,0.127115765,0.11341101,0.099341465,119970,1,0.971
"OM1_HCR-C_Ftrgt-0.17_Btrigger-270000_TACconstr-TRUE_BB-TRUE.rds",1,0.17,270000,"C",TRUE,TRUE,24347.58872,16190.51444,21211.03878,0.05505,0.0381,0.0758,0.0682,0.05,0.093,0.085,0.360887132,0.345275094,0.41449783,22091.1,15844.55,18952.05,0,0,200711.3453,170785.7875,191503.8952,0.123462679,0.110053109,0.096008249,119970,1,0.974
"OM1_HCR-C_Ftrgt-0.18_Btrigger-140000_TACconstr-TRUE_BB-TRUE.rds",1,0.18,140000,"C",TRUE,TRUE,28728.19064,24517.62366,25540.1983,0.11405,0.0909,0.1376,0.1368,0.106,0.196,0.165,0.366462621,0.328338699,0.392852679,27679.55,24605.4,24648.05,0,0,184455.0509,160681.2421,174825.8602,0.170843196,0.158531808,0.169733249,119970,1,0.94
"OM1_HCR-C_Ftrgt-0.18_Btrigger-160000_TACconstr-FALSE_BB-FALSE.rds",1,0.18,160000,"C",FALSE,FALSE,28379.3974,23207.8434,26012.2198,0.10165,0.078,0.1272,0.1234,0.091,0.161,0.149,0.115913471,0.104029022,0.177605668,28714.5,25347,26817,0,0,186349.6254,161530.5346,176799.6409,0.171691649,0.165074265,0.159892249,119970,1,0.946
"OM1_HCR-C_Ftrgt-0.18_Btrigger-160000_TACconstr-TRUE_BB-TRUE.rds",1,0.18,160000,"C",TRUE,TRUE,28552.51401,23734.78012,25308.79636,0.1038,0.0802,0.1282,0.1266,0.093,0.17,0.156,0.363603767,0.326592386,0.39534303,27437.6,23530.5,24359.25,0,0,185847.9284,161356.3552,176336.8261,0.167142829,0.154395195,0.160954509,119970,1,0.946
"OM1_HCR-C_Ftrgt-0.18_Btrigger-180000_TACconstr-FALSE_BB-FALSE.rds",1,0.18,180000,"C",FALSE,FALSE,28054.4862,21888.5776,25685.3238,0.0897,0.0667,0.115,0.1104,0.083,0.144,0.132,0.127677267,0.126211941,0.194984425,28845,23220,26378,0,0,188378.0813,163298.7933,179374.0026,0.167431165,0.159236434,0.146939407,119970,1,0.954
"OM1_HCR-C_Ftrgt-0.18_Btrigger-180000_TACconstr-TRUE_BB-TRUE.rds",1,0.18,180000,"C",TRUE,TRUE,28223.47193,22415.37158,24990.84484,0.09145,0.0692,0.1142,0.1132,0.081,0.148,0.138,0.363428545,0.330223882,0.400376565,26939.65,22716.85,24270.65,0,0,187686.5234,163226.4069,178490.2109,0.162876967,0.149914419,0.14788116,119970,1,0.953
"OM1_HCR-C_Ftrgt-0.18_Btrigger-260000_TACconstr-TRUE_BB-TRUE.rds",1,0.18,260000,"C",TRUE,TRUE,25554.55831,17440.50054,22381.08291,0.0611,0.0435,0.0818,0.0756,0.055,0.103,0.097,0.360095264,0.334168975,0.414883263,23289.3,17094.75,20007.7,0,0,197255.196,169241.2047,188453.7909,0.133025104,0.119115058,0.105142712,119970,1,0.97
"OM1_HCR-C_Ftrgt-0.18_Btrigger-270000_TACconstr-TRUE_BB-TRUE.rds",1,0.18,270000,"C",TRUE,TRUE,25153.84427,16949.1005,21987.5542,0.05815,0.0409,0.079,0.0718,0.051,0.099,0.089,0.360991122,0.341336625,0.413401552,22764.25,16596.15,19607.15,0,0,198457.6665,169907.633,189643.5424,0.129157371,0.115335484,0.101500755,119970,1,0.971
"OM1_HCR-C_Ftrgt-0.18_Btrigger-2e+05_TACconstr-TRUE_BB-TRUE.rds",1,0.18,2e+05,"C",TRUE,TRUE,27723.7905,21008.20972,24511.28948,0.08095,0.0598,0.1038,0.1004,0.072,0.136,0.121,0.361417427,0.327976449,0.404686028,26719.5,20942.9,23549.4,0,0,189859.2363,165007.3699,180944.2576,0.156685132,0.143161123,0.134891894,119970,1,0.96
